stars,date,comment
5,12 maggio 2023,Super che dire pesce fresco pulizia super,molto accogliente porzioni abbondanti,e molto asciutto.vista paura proprio difronte al mare.
5,7 maggio 2023,Personale molto accogliente e gentile. Ci siamo sentiti a casa. Vi invito ad assaggiare gli gnocchi fatti in casa..squisiti! Ottima frittura mista di pesce e dolcetti buoni e originali. Grazie
5,29 aprile 2023,Cibo di alta qualità e personale molto gentile ed amichevole, oltre che accogliente.   Lo consiglio vivamente !!!!!!!!
1,24 aprile 2023,All’ingresso buona accoglienza dal cameriere, poi però ci hanno parcheggiato da un lato e dimenticato di noi, dopo 30 minuti siamo riusciti ad ordinare , dopo altri 30 minuti arrivano 2 dei 6 piatti ordinati, poi altri 2 piatti (pasta senza sale) , poi dopo...altri 20 minuti gli ultimi 2 , la fornarina ordinata non è più arrivata . All’uscita (penso la proprietaria) ci ha chiesto se è andato tutto bene abbiano annuito si ma poteva andare meglio ,ha trovato una scusa che non esiste (non hanno messo l’urgenza) però devo dire che ci ha fatto 20 euro di sconto . Posto sul mare quindi bel panorama , i secondi di pesce erano buoni, i primi meglio evitare ,  attesa troppo lunga e servizio inesistente .Più
5,11 aprile 2023,Cercavamo un posto dove mangiare a pranzo e abbiamo trovato questo ristorante molto accogliente, all’entrata la signora che c’era alla cassa è stata molto gentile. Un grande complimento va dedicato al Cameriere molto professionale potrebbe essere un maitre, curava il servizio in maniera impeccabile con...attenzione e riguardo verso la spiegazione dei piatti, si vedeva che aveva molta esperienza. Ordiniamo due fritti misti e due spritz tutto molto buono non abbiamo aspettato tanto il servizio era molto veloce.  Consiglio vivamente di andare a provare questo ristorante. Ci torneremo sicuramente. 😃Più
5,9 aprile 2023,Ottimo ristorante, gentilissimi ottima la cucina e il prezzo giusto per essere Pasqua. Personale molto professionale
5,9 aprile 2023,Locale accogliente personale molto carino e gentile, cucina eccellente e piatti abbondanti,pesce freschissimo cucinato al momento e prezzo  onesto, lo consiglio
4,24 marzo 2023,Sempre livello alto, sia nella qualità del cibo che nella gentilezza e accoglienza. Locale pulito e ben tenuto. Che dire, se siete in zona fermatevi.
5,19 novembre 2022,Stasera ho cenato con amici in questo bellissimo ristorante. Siamo stati davvero bene: il pesce era  fresco e le porzioni super abbondanti. Ma oltre al cibo, davvero eccellente, mi ha colpito la gentilezza del personale e l'atmosfera calda e familiare che si respira all'interno di...questa meravigliosa terrazza dei sogni. Ci ritornerò sicuramente!! ☺️Più
4,5 novembre 2022,Vicino al mare sul viale principale, bel locale ampio. Ingredienti freschi con piatti di qualità cucinati al momento. Consigliato!
5,10 settembre 2022,Siamo entrati con diffidenza massima in quanto, forse a causa dell’orario il ristorante si presentava vuoto, e siamo stati accolti da personale di sala e dalla proprietaria con un incredibile gentilezza e professionalità. I piatti sono stati tutti eccellenti ( tagliata di salumi e formaggi...Più
3,9 settembre 2022,Locale abbastanza  grande sulla strada prospicente il lungomare. Menu' abbastanza vario, ance se non amplissimo Buona la qualita' del cibo. Servizio cordiale. Prezzi onesti
3,29 agosto 2022,In questo ristorante,  ho fatto 2 pranzi in quanto convenzionato con l’hotel Palm Beach adiacente , le cameriere gentilissime , la cucina buona , piccolo menù per gli ospiti dell’ hotel con scelta tra antipasti , primi o secondi o pizza . Io ho scelto...Più
3,22 agosto 2022,Location molto carina , situata davanti al lungomare di Rimini.  Personale molto disponibile, ma non siamo rimasti tanto contenti per quanto riguarda la lentezza nel servizio e soprattutto la tagliata di carne.
5,13 agosto 2022,Abbiamo pranzato in questo ristorante oggi 1 giorno all hotel Palm Beach e devo dire che il ristorante è carino arredamento particolare marinaro luminoso personale molto accogliente il cibo di ottima qualità e abbondante i dolci della casa il prezzo e adeguato alla qualità allego...Più
1,27 luglio 2022,Le ragazze in sala molto gentili.La signora alla cassa  meglio che cambi mestiere...!!!!!!Cafona ai massimi livelli !!!!
5,17 luglio 2022,Sono stata pranzo Nonostante il caldo pesante, l'ambiente è ventilato e si stava da dio Personale cortese e tanta gentilezza La frittura di pesce da 10 Come si fa a non ritornarci?
5,15 luglio 2022,Sono stata oggi in questo ristorante con il mio ragazzo, devo dire  eccezionale! Porzioni molto abbondanti non siamo riusciti a finire il secondo! Una peculiarità inoltra con l'antipasto tavolozza di mare portano non solo le cozze ma anche una ciotola piena di vongole! Tutto molto...Più
5,12 luglio 2022,ottima cucina, personale cordiale e cortese, ritorneremo senz'altro. consigliamo a chiunque di andare qui. ad maiora!
5,6 luglio 2022,Pesce fresco, prezzi onesti, location molto piacevole, gente simpatica e cortese. Più di così... io non chiederei. Consigliato
3,22 maggio 2022,Le tre stelle sono soltanto per il riso ai frutti di mare che era immangiabile a causa della quantità di sale che lo ha reso immangiabile, essendo quella la portata primaria mia e di mia moglie alla fine lo abbiamo consumato lo stesso (forse commettendo...Più
5,20 maggio 2022,Trovato rifugio alla Terrazza dopo che la reception del nostro albergo ci aveva suggerito di cenare dal dirimpettaio di questo ristorante, dove abbiamo trovato sala stracolma, rumore  assordante, caos estremo. Scappati subito, ci siamo intrufolati alla Terrazza: piacevolissima scoperta. Ottima cena di pesce, persone gentili...Più
5,20 maggio 2022,E la mia seconda volta che passo una serata da voi con la mia famiglia è che dire sempre più ottimo bravi ragazzi 🤩
5,18 maggio 2022,personale gentilissimo, terrazza con vista sul mare con tutti i colori del tramonto .... Fantastica! Antipasto di mare eccellente il polpo aveva un sapore meraviglioso la grigliata era cotta alla perfezione e il pesce lasciava sentire la sua freschezza,la frittura croccante e non unta deliziosa....Più
5,18 maggio 2022,L'arredamento in stile marinaro e la vista mare rendono questo locale molto affascinante. La cortesia del personale dall'accoglienza al servizio rendono il pasto molto piacevole, il cibo fantastico un melange di sapori gradevoli anche a me che sono ipercritico, la cacio e pepe di mare...Più
1,16 maggio 2022,Menù già concordato. Ho mangiato due volte in questo cosiddetto ristorante e facevo parte di un gruppo numeroso...(20 persone la prima sera, un centinaio la seconda). Pasta al pesto (immangiabile per quanto era salata) la prima sera e una improbabile scaloppina al limone...di maiale e...Più
1,14 maggio 2022,Location discutibile… gli addobbi di Natale, la facevano ancora da padrone. Ma “il bello” arriva dopo!!!!!!! Antipasto “mangiabile”, i due primi: riso ai frutti di mare (scotto e bruciato… non commestibile) - spaghetti con arselle inesistenti (collosi), 90 piatti usciti dalla cucina rimasti intonsi; per...Più
5,19 aprile 2022,Grazie Ragazze per la splendida Pasqua che ci avete fatto trascorrere ...  Siete state eccezionali nonostante il delirio di gente e il poco personale.  Pesce ottimo come sempre e dolci spettacolariiiii!  E di voi che dire? Promosse a pieni voti: ci avete riempito di attenzioni...Più
5,14 aprile 2022,Siamo 4 amici  a Rimini, trovato questo locale quasi per caso….cibo ottimo, accoglienza Super…..tutto veramente veramente Ottimo…..A presto…..
1,13 aprile 2022,Locale molto freddo da dover mangiare con il giacchetto, oltre all'acqua che filtrava dalla copertura. Cena da dimenticare per la qualità con portate di pesce riscaldate perché preparate chissà quanto prima, per non parlare poi del prezzo, 1antipasto di mare 2grigliate miste di mare 1/2litro...Più
5,7 aprile 2022,Posto molto carino, personale cortese simpatico e disponibile  , ottimo cibo.... Sono stato la sera che facevano il karaoke con la spettacolare animazione di Ciri Ceccarini e del suo "KARAOKE HERE" e mi sono divertito tantissimo . Grazie tante per la Bella serata.
5,13 febbraio 2022,Molto buono e posto molto accogliente  Cameriera super cordiale e disponibile  Qualità prezzo perfetta
4,11 gennaio 2022,Sono stato domenica con mio marito Bellissimo posto accogliente pulito e qualificato piatti deliziosi servizio rapido e molto professionali la cameriera Cinzia è stata un tesoro fin da l'inizio complimenti alla cucina. alla prossima
5,11 gennaio 2022,Ero con la mia famiglia per un weekend passeggiando ho visto questo elegante ristorante e mi ha incuriosito ci siamo fermati e subito con una bella presenza del personale molto qualificati ci hanno fatto accomodare abbiamo ordinato 4 primi  due pacchi di Bronte e due...Più
4,2 dicembre 2021,Ci siamo trovati molto bene, sia per la disponibilità del personale che per la qualità del cibo. Interessante la proposta di pizze gourmet. Rapporto qualità prezzo in linea con la qualità
4,14 novembre 2021,Subito cortesia e bontà. Golosi piattoni di pesce di mare. Bella e spaziosa location a due passi dalla spiaggia.
5,5 novembre 2021,Torniamo nel posto del nostro cuore a Rimini, dove se vuoi mangiare bene, sei nel posto giusto. Ennesima conferma, cibo sublime e gentilezza del personale al top. Peccato solo per l'attesa verso fine cena, comprensibile e ampiamente giustificata dal poco personale presente quella sera. Una...Più
5,28 ottobre 2021,Cena. 27 ottobre. La cortesia, la simpatia e la professionalità del personale di sala hanno fatto da cornice ad una serie di squisite portate. Carne e pesce erano di ottima qualità. Servizio veloce e curato. I nostri ospiti, di un altro Stato, ancora questa mattina...Più
3,10 ottobre 2021,Tutto molto buono prezzi da rivedere tipo grappa 7€. Personale gentile e disponibile, locale un po datato, ma nel complessivo buono .
1,5 settembre 2021,aspettato molto per il primo e quando arrivato il primo con pesce che sapeva di ammoniaca subito dopo ci hanno portato il secondo e anche lì  pesce avariato  e non ci hanno chiesto neanche il green pass di sicuro non ritornerò  in quel posto lo...Più
5,2 settembre 2021,Ci siamo recati presso il Ristorante La Terrazza per caso ed è diventato il nostro posto preferito, ogni sera. Cortesia, professionalità, location ariosa, elegante ed accogliente. Il menù è divino, le porzioni extra generose e la pizza indimenticabile. La proprietaria accoglie come fossimo di famiglia...Più
5,30 agosto 2021,Cucina italiana, e non solo.  Piatti revisionati di squisitezza assoluta, ottima presentazione delle pietanze, pronto servizio.  Cocktails fa-vo-lo-si stuzzicheria di qualità eccellente.  Personale gentilissimo.  Una esperienza indimenticabile.
4,25 agosto 2021,Abbiamo avuto accesso al ristorante dopo aver mostrato il green pass e ciò ci ha resi tranquilli.Locale caratteristico, personale competente,ma alla mano. Cibi ottimi con sapori particolari.Ci siamo molto rilassanti.Il cameriere : alto, magro e con gli occhi azzurri ( di cui però non conosciamo...Più
5,24 agosto 2021,Abbiamo cenato presso La Terrazza ieri sera, attirati dalla bella location. La gentilezza e la professionalità del personale sono uniche,cibo ottimo (cozze, tagliolini con lo spada e grigliata di mare),prezzo adeguato. Ci tornerò
5,20 agosto 2021,Quello che non ti saresti mai aspettato, un'accoglienza deliziosa, personale qualificato e gentile, per non parlare della qualità dei piatti, Come antipasti Cozze alla tarantina saporitissime, polpo e patate con gusto delicato e apprezzabile ed in chiusura pizzette fritte con sopra pomodoro e pecorino  squisite....Più
4,20 agosto 2021,Ristorante molto carino, informale. Personale molto cordiale e disponibile. Ho ordinato esclusivamente pesce e gli alimenti erano di qualità e freschi. Ci sono ritornata la sera successiva. Quindi mi sento di consigliare questo ristorante se si vuole passare una serata tranquilla accompagnata da buon cibo.
5,17 agosto 2021,Che dire,insieme alle mie amiche ci siamo capitate quasi per sbaglio..abbiamo trovato cibo ottimo e personale davvero molto acogliente,preparato e gentile…lo consiglio vivamente!!!!😊
1,17 agosto 2021,Personale lento (fila abbandonata da molte persone) e scortese (maleducazione e incapacità verso la clientela), pizza veramente di basso livello. Occhio che se rispondete ancora male, i clienti li perdete!
5,10 agosto 2021,Se vi capita di passare da Rivazzurra, vi consiglio la pizza "elisir d'amore", ovvero salsiccia, funghi champignon e scamorza (sarebbe su base bianca, ma io ho voluta provarla su base della margherita). Il risultato: veramente ottima, a partire dell'impasto tipico napoletano. Personale molto gentile ed...Più
5,9 agosto 2021,Ottima cucina del territorio, dal classico ai sapori più ricercati. Servizio eccellente e molto preparato sulle pietanze. Consiglio a tutti una visita, molto molto meritata!
4,7 agosto 2021,Ristorante a due passi dal mare, molto accogliente con personale cordiale, attento  all' esigenza del cliente. Cibo di ottima qualità dalla pizza, ai primi e secondi.  Titolare simpatica, gentile. Una sicurezza per chi soggiorna a Rivazzurra.
5,6 agosto 2021,Eravamo 2 coppie di amici con un bimbo a coppia. Abbiamo ordinato sia Carne che pesce,  ma nonostante questo il servizio è stato rapido (previo avviso da parte loro che forse avrebbero tardato). Pietanze  ottime e non unte (tagliata + misto camionista di pesce +...Più
5,4 agosto 2021,Accoglienza molto gradevole,  Nicola , Matteo e Cinzia , personale attento e premuroso . Piatti , ben presentati, quantità buona , qualità ottima , come ottimo è stato il prezzo. Consiglio vivamente
5,24 luglio 2021,Io e il mio compagno siamo capitati qui un po'per caso, non abbiamo prenotato e ci hanno comunque trovato un tavolo disponibile. Servizio impeccabile, i camerieri sono veramente attenti alle esigenze del cliente. Ci hanno fatto sentire a casa! Abbiamo preso un antipasto da dividere...Più
5,10 luglio 2021,Accoglienza ottima, tutto il personale super gentile e attento, specialmente il cameriere Matteo che ci ha spiegato ogni piatto come era preparato e ci ha consigliato i migliori abbinamenti.  Inoltre la cucina è sul momento, senza precotti o surgelati. Tutto pesce fresco. Sicuramente un’esperienza da...Più
5,7 luglio 2021,Ci troviamo quasi per caso nel nostro ultimo pranzo riminese con amici in questo ristorante affacciato sul lungomare. Prima impressione: posto di classe dove vieni accolto con grande calore e amore verso il cliente. Servizio impeccabile, perfetto, neanche una sbavatura. Ce ne fossero tanti altri...Più
5,3 luglio 2021,Federica la cameriera fantastica. Cibo spaziale. Posto bellissimo. Consigliato. Vista mare. Servizio serio
4,29 giugno 2021,Cena ottima, porzioni abbondanti con prezzi giusti.  Servizio rapido e cortese. Consiglio assolutamente!
2,26 giugno 2021,Il posto è anche carino e comodo, il pesce buono, ma il servizio SICURAMENTE VERGOGNOSO e INQUALIFICABILE. Attese lunghissime, camerieri distratti e pizze INCOMMENTABILI. Magari se scrivessero a Cucine da Incubo, il buon Cannavacciulo li darebbe tante di quelle pacche da farli cambiare idea di...Più
1,26 giugno 2021,In un'ora e mezza non sono riusciti a portarci due bottiglie d'acqua e una bottiglia di vino. Quando finalmente è arrivato il bere, mancavano i bicchieri. Ci siamo serviti da soli dallo scaffale. Poi ci hanno detto che non avevano segnato i piatti che avevamo...Più
5,12 giugno 2021,Li ho conosciuti con l’asporto…sempre puntuale, qualità ottima, piatti consegnati caldi e a cottura perfetta!  Ci sono andata poi personalmente appena hanno riaperto e da allora non li lascio più…sempre una garanzia di buon cibo e cortesia ed attenzione verso il cliente.  Una certezza di...Più
5,12 giugno 2021,Passavo quasi per caso sul lungomare quando mi si è palesato questo ristorante…. mi guardo intorno e c’è proprio vicino un altro , dove vado ??? All’oroscopo non ci ho mai creduto , anzi se proprio devo dirla mi fà venire l’orticaria, entriamo nell’altro.  Preso...Più
5,2 giugno 2021,Sono stato a cena in questo ristorante con mia moglie. Il cibo è veramente ottimo e di qualità, il prezzo è nella norma. Un plauso al personale, dimostratosi cordiale, serio e professionale. Se dovessi ritornare a Rimini in vacanza, ci ritornerò di sicuro.
5,29 maggio 2021,Siamo stati "agganciati" da ALESSIO,chiamato il bello del locale, sulla soglia di ingresso del Ristorante.Sala pulita, luminosa e accogliente con personale qualificato, disponibile e premuroso.Abbiamo mangiato Il misto del Camionista (vedi foto) un piatto ricco e squisito davvero eccezionale ,preceduto da zeppole di mare e...Più
5,16 maggio 2021,Siamo stati a cena in questo posto molto bello,il personale è simpaticissimo,gentilissimo e molto professionale. Il cibo è spettacolare, consigliatissimo.
5,7 maggio 2021,Sono stato in questo ristorante con amici e sono stato veramente bene ,accoglienza eccezionale,location che non lascia nulla al caso soprattutto la cucina veramente al top. Vi invito ad andarci .
5,7 maggio 2021,L'accoglienza di Cristina e Simona e'gia un motivo più che sufficiente per ripetere l'esperienza. Se poi si aggiunge la location, veramente  gradevole e ben curata, il rispetto delle normative covid e le  fantastiche proposte culinarie della chef Sara, il ristorante si colloca certamente fra i...Più
5,1 maggio 2021,Ristorante vista mare tranquillo e accogliente. Personale simpatico e cordiale. Ottimi e abbondanti piatti di mare e di terra. Buona scelta di dolci, non scontati, fatti in casa. Un locale in cui tornare senz'altro.Più
5,22 febbraio 2021,Volevo ringraziare tutto lo staff x l'accoglienza che ci hanno riservato sabato 20 a pranzo .ci hanno messo al nostro agio con tutte le precauzioni del momento Covid.abbiamo mangiato in 4 è 4 primi diversi di pesce molto gustosi e sicuramente fresco .frittura mista con...Più
5,7 febbraio 2021,Ho approfittato della prima domenica in fascia gialla, per recarmi in questo delizioso locale con vista sul mare Personale molto gentile, accogliente e professionale, che ci ha saputo spiegare tutto in dettaglio e consigliarci il vino migliore da abbinare  Ottima la cucina  Io ed il...Più
5,2 ottobre 2020,Abbiamo cenato giovedì sera in 4 ottimi primi di pesce, piacevole ambiente ecucina al massimo rapporto qualita' prezzo e ci hanno offerto prosecco e dolci.
5,21 settembre 2020,Ogni volta che mangio presso questo ristorante rimango più che soddisfatto! Piatti davvero ottimi e prezzi più che onesti. Questa volta ho anche avuto il piacere di conoscere Alessio un giovane cameriere che ha reso la cena molto divertente.
5,13 settembre 2020,Convinti a fermarci a cena dalla simpatia del cameriere. Personale gentilissimo e disponibile. Spaghetti alla carbonara di mare molto buoni. Servizio veloce. Sicuramente una cenetta in questo ristorante la rifarò. Bravi!
5,12 settembre 2020,Ci siamo trovati a mangiare in questo ristorante, tutto ottimo, dall antipasto di pesce buonissimo, allo spaghetto, e infine all ottima grigliata di pesce. Lo staff da 10, vedere del personale così carismatico  non è da poco. Tutto ottimo dallo staff alle pietanze. Sicuramente ci...Più
2,31 agosto 2020,Siamo stati a cena qui circa due settimane fa. C'è da dire che non avevamo prenotato, tuttavia, nonostante il ristorante fosse praticamente vuoto, ci hanno "trovato" un tavolo comunque. Peccato che al momento di ordinare, il cameriere ha cercato di indurci a ordinare altro rispetto...Più
4,30 agosto 2020,Da quattro anni veniamo in vacanza a Rivazzurra di Rimini, in hotel quest'anno in convenzione con il ristorante Le Terrazze. Ci siamo trovati molto bene dal primo giorno. La signora ci ha accolto subito con molta gentilezza, personale disponibile e simpatico. Buoni piatti, in particolare...Più
5,28 agosto 2020,Siamo tornati per la seconda volta e devo dire che è stata ancora meglio della prima. Locale pulito. Atmosfera accogliente. Personale giovane, simpatico e cordiale. Attesa ragionevole fra una portata e l'altra ... Considerando che è tutto cucinato al momento (e si sente). Quadri della...Più
1,23 agosto 2020,Premetto che il ristorante ha una convenzione con l'albergo in cui alloggiamo. Ci presentiamo alle 19.30 accoglienza pessima si guardano tra di loro e confabulano che non abbiamo prenotato(????). Posti vuoti tantissimi e ci dicono che sono in difficoltà a darci un tavolo.Prendiamo 3 pizze...Più
5,23 agosto 2020,Personale ottimo, siamo stati due volte con la mia famiglia ci hanno trattato benissimo, ci hanno servito subito, i bimbi hanno mangiato subito, poca attesa, cibo ottimo, lo consiglio vivamente
1,18 agosto 2020,Locale carino, personale impreparato e con battute sarcastiche inopportune. Abbiamo ordinato una porzione di verdure gratinate ed erano buone (peccato che il cameriere non sapesse neanche il tipo di verdure che ci sarebbero state), gnocchi alla Sorrentino buoni, patatine fritte mai state servite, tagliatelle al...Più
2,18 agosto 2020,io non ho parole...l ordinazione presa dopo quasi mezz ora ad aspettare e per di piu dopo altre persone arrivate dopo di noi...servizio pessimo dal cameriere che ci ha preso l ordinazione che è stato veloce e sbrigativo perche aveva da fare la corte alle...Più
1,16 agosto 2020,Arriviamo con prenotazione e ci fanno attendere 20 minuti. Camerieri svogliati. Cibo nella media. Scortesi. Dopo 5 richieste di abbassare il condizionatore ho dovuto minacciare di andarmene. Conto salato e locale sporco. Ciliegina sulla torta, attenzione che si intascano le cose.. ho dimenticato sul tavolo...Più
2,16 agosto 2020,Mi spiace per le due signore alla cassa che presumo fossero le titolari...il cibo buonoa il servizio scadente. Su 5/6 camerieri due lavoravano , le altre gironzolavano per i tavoli senza far nulla. Una si arricciava i capelli con le mani , le stesse mani...Più
1,13 agosto 2020,Entriamo nel locale alle 21 circa e ci fanno accomodare ad un tavolo. Menù scritto sulle tovagliette un po' confuso secondo noi. Tempo 3 minuti dalla nostra seduta si presenta un cameriere, ma non avendo avuto troppo tempo per decidere, chiediamo se gentilmente potesse darci...Più
1,11 agosto 2020,Non si mangia malaccio, anche se su tutto l’Adriatico si mangiano fritture di pesce imparagonabili rispetto a quelle servite qui. Ordinazione del bambino (prioritaria) sbagliata, quindi servito per ultimo. Musicaccia alla tv ad alto volume. Dopo tre richieste di poter almeno abbassare, ci siamo spostati...Più
1,10 agosto 2020,Scelto il tavolo all’esterno passano 20 min per prendere l’ordine, e 40 per tre pizze...se non sollecitavo io . Ne Pane ne grissini (Al tavolo c’era una bimba di due anni e mezzo....pizza ordinata baby, arrivata e pagato normale sorvoliamo....pizze quasi fredde....conto 42 euro per...Più
4,3 agosto 2020,Siamo stati tre giorni a pranzo e cena e siamo stati molto bene: buon cibo, servizio veloce ma cortese e molto professionale, credo che tornerò
5,2 agosto 2020,Ambiente pulitissimo, luminoso ed in posizione strategica. Ottima la cucina, con cibo sempre fresco e di qualita'. Camerieri cordiali, molto professionali e staff sempre pronto a soddisfare il cliente portando attenzione ad ogni richiesta. Poi la cordialita',la gentilezza, la simpatia e l'impegno costante di Cristina...Più
3,27 luglio 2020,Mangiato in maniera poco più che buona, senza calcolare l'ora di ritardo tra un piatto e l'altro,l'unica cosa arrivata in maniera rapida anche se non fantastiche sono state le patatine fritte ordinate per stuzzicare. Non è stato chiesto scusa da alcun cameriere per via di...Più
4,24 luglio 2020,Siamo venuti in questo ristorante anche se non consigliato ma invece si è rivelato un ottimo ristorante cibo molto buono pesce fresco e di alta qualità prezzo normale e servizio ottimo
3,23 luglio 2020,Buon ristorante e pizza buona ci è piaciuto un po migliorabile ma tutto sommato siamo andati 3 volte quindi promossi
5,22 luglio 2020,Posto molto accogliente, tempi di attesa molto brevi,  camerieri molto cordiali. Prezzi modici. Consiglio vivamente.
